Timestamp,images,region,days,fees,Code
24/02/2025 00:54:43,group5 - Sabona Marara.png,Balee,monday-wensday,200,01
24/02/2025 00:56:33,https://drive.google.com/open?id=1ciyKABrnzxPJ3LpU1uyutkkEYrjDucq-,Arsii,Tesday-friday,100,02
24/02/2025 01:01:19,https://drive.google.com/open?id=1qvULrsEJKBHGEc-7g3sOT09vdN6ApMkn,ADAMA,SAT-SUND,150,03
24/02/2025 01:08:30,https://drive.google.com/open?id=1MEjMlKY915jhvhDY3AeAEADNd9weSeFl,Finfinnee,monday-tuesday,200,04
24/02/2025 01:11:09,https://drive.google.com/open?id=1SeE_M48axtkf_qphEvPYEcarQY4l0QCy,Konso,monday-tuesday,30,05
24/02/2025 20:18:48,https://drive.google.com/open?id=17Hc7f3PhemtX2M63gkyf3VFIOrerCT4u,Moyalee,mon-teusday,20,06
24/02/2025 23:09:50,https://drive.google.com/open?id=1emm-mVYgxQWySg4M-5RiiTlYyKD3xKex,Dilaa,Monday,50,07
24/02/2025 23:10:44,https://drive.google.com/open?id=1fLJkK5OGPPXsYKYteOVur-xtSnKrffpq,Hawasa,tesuday,70,08
24/02/2025 23:12:01,https://drive.google.com/open?id=1vRv_WsgEMD9XBa1ls8xwkVnrc8YYWmjI,Naarobii,Monday,200,09
24/02/2025 23:13:35,https://drive.google.com/open?id=1C44v_4jNmErX2qrsNZMMNSJYUk1TVJFc,Jimmaa,Sunday,160,10
